Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
1000,2.5876262,0.00029999999,2.0329564,-4.654986522911051,-4.654986522911051,30.752021563342318,0.75942004,-2.2960556,0.33657318,0.35172328,0.8680713
2000,2.5672176,0.00029999999,4.384506,-4.218085106382978,-4.218085106382978,31.06117021276596,0.2915609,-4.5426316,0.12446235,0.11906741,0.64635855
